Field,Option
moral,Lawful Good
moral,Lawful Neutral
moral,Neutral Evil
moral,Neutral Good
moral,True Neutral
positive_traits,ACCESSIBLE
positive_traits,ACTIVE
positive_traits,ADAPTABLE
positive_traits,ADMIRABLE
positive_traits,ADVENTUROUS
positive_traits,AGREEABLE
positive_traits,ALERT
positive_traits,ALLOCENTRIC
positive_traits,ATTRACTIVE
positive_traits,BALANCED
positive_traits,BENEVOLENT
positive_traits,BRILLIANT
positive_traits,CALM
positive_traits,CAPABLE
positive_traits,CAPTIVATING
positive_traits,CARING
positive_traits,CHALLENGING
positive_traits,CHARISMATIC
positive_traits,CHARMING
positive_traits,CHEERFUL
positive_traits,CLEAN
positive_traits,CLEAR-HEADED
positive_traits,CLEVER
positive_traits,COLORFUL
positive_traits,COMPANIONLY
positive_traits,COMPASSIONATE
positive_traits,CONCILIATORY
positive_traits,CONFIDENT
positive_traits,CONSCIENTIOUS
positive_traits,CONSIDERATE
positive_traits,CONSTANT
positive_traits,CONTEMPLATIVE
positive_traits,COOPERATIVE
positive_traits,COURAGEOUS
positive_traits,COURTEOUS
positive_traits,CREATIVE
positive_traits,CULTURED
positive_traits,CURIOUS
positive_traits,DARING
positive_traits,DEBONAIR
positive_traits,DECENT
positive_traits,DECISIVE
positive_traits,DEDICATED
positive_traits,DEEP
positive_traits,DIGNIFIED
positive_traits,DIRECTED
positive_traits,DISCIPLINED
positive_traits,DISCREET
positive_traits,DRAMATIC
positive_traits,DUTIFUL
positive_traits,DYNAMIC
positive_traits,EARNEST
positive_traits,EBULLIENT
positive_traits,EDUCATED
positive_traits,EFFICIENT
positive_traits,ELEGANT
positive_traits,ELOQUENT
positive_traits,EMPATHETIC
positive_traits,ENERGETIC
positive_traits,ENTHUSIASTIC
positive_traits,ESTHETIC
positive_traits,EXCITING
positive_traits,EXTRAORDINARY
positive_traits,FAIR
positive_traits,FAITHFUL
positive_traits,FARSIGHTED
positive_traits,FEARLESS
positive_traits,FELICIFIC
positive_traits,FIRM
positive_traits,FLEXIBLE
positive_traits,FOCUSED
positive_traits,FORCEFUL
positive_traits,FORGIVING
positive_traits,FORTHRIGHT
positive_traits,FREETHINKING
positive_traits,FRIENDLY
positive_traits,FUN-LOVING
positive_traits,GALLANT
positive_traits,GENEROUS
positive_traits,GENTLE
positive_traits,GENUINE
